Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Point of Contact
27/05/2022,6000,1,1,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
06/06/2022,10000,2,2,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,Contact Owner
20/05/2022,4600,2,1,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,Contact Owner
02/07/2022,12000,2,2,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,Contact Owner
26/05/2022,30000,3,2,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
12/05/2022,15000,3,2,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
22/06/2022,7500,1,1,150,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,Contact Owner
25/06/2022,7500,1,1,450,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,Contact Owner
03/07/2022,5000,2,1,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
23/04/2022,15000,2,2,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
14/05/2022,11000,2,1,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,Contact Owner
27/05/2022,7000,1,1,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
19/06/2022,6000,2,1,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
19/06/2022,6000,2,2,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,Contact Owner
02/07/2022,7000,2,2,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
06/07/2022,8500,2,2,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
02/07/2022,5000,1,1,300,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,Contact Owner
21/06/2022,30000,3,3,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
04/06/2022,10000,2,2,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
24/06/2022,30000,3,2,2000,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
14/05/2022,3500,1,1,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
26/06/2022,8000,2,1,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,Contact Owner
02/07/2022,5000,1,1,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
05/05/2022,7500,2,1,600,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
18/05/2022,6500,2,1,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
07/06/2022,7500,1,1,680,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
07/06/2022,7500,1,1,680,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
26/06/2022,16000,2,1,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,Contact Agent
26/06/2022,16000,2,1,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,Contact Agent
30/05/2022,6500,2,1,700,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,Contact Owner
22/05/2022,40000,3,2,1500,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
18/06/2022,12500,2,2,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
08/06/2022,5500,2,1,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
25/06/2022,5000,1,1,450,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
03/05/2022,6500,2,1,700,Ground out of 2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,Contact Owner
12/05/2022,8000,1,1,500,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
01/06/2022,14500,3,2,1800,Ground out of 2,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
23/05/2022,8200,1,1,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
23/05/2022,15000,2,2,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,Contact Owner
21/06/2022,20000,6,2,1000,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
22/06/2022,6700,2,1,800,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,Contact Owner
27/05/2022,10000,1,1,435,2 out of 3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
07/05/2022,7000,2,2,700,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,Contact Agent
25/06/2022,22000,2,1,800,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,Contact Agent
27/06/2022,6500,2,1,450,1 out of 3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
31/05/2022,8500,2,1,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,Contact Agent
03/06/2022,18000,2,2,800,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,Contact Agent
27/06/2022,12000,2,2,550,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,Contact Owner
15/05/2022,9000,1,1,600,2 out of 4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,Contact Owner
09/06/2022,6000,1,1,500,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
28/04/2022,20000,2,2,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,Contact Owner
23/05/2022,5000,1,1,300,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
28/06/2022,12000,2,2,1200,1 out of 3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,Contact Owner
23/06/2022,10000,2,1,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
29/04/2022,18000,4,2,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,Contact Owner
13/06/2022,15000,2,2,900,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,Contact Agent
13/06/2022,22000,3,3,1300,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
13/06/2022,35000,4,3,1600,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
14/05/2022,21000,3,2,1450,Ground out of 1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,Contact Owner
06/07/2022,25000,2,2,1100,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,Contact Agent
16/06/2022,180000,2,2,950,Ground out of 1,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
06/06/2022,6000,1,1,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
04/07/2022,14000,2,2,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
15/05/2022,8000,3,1,750,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,Contact Owner
04/05/2022,8000,2,1,1000,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
25/04/2022,6000,1,1,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,Contact Owner
21/05/2022,8000,1,1,300,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,Contact Agent
27/06/2022,6000,1,1,300,Ground out of 1,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
02/07/2022,20000,1,1,700,1 out of 2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
06/07/2022,12000,3,2,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
28/04/2022,15000,3,2,1600,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
15/05/2022,14000,2,2,1000,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
30/05/2022,5000,1,1,20,2 out of 3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
10/06/2022,7000,2,1,400,Ground out of 2,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
23/06/2022,3900,1,1,200,2 out of 2,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,Contact Owner
09/06/2022,14000,3,2,840,1 out of 4,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,Contact Owner
19/06/2022,6300,1,1,300,1 out of 1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
03/07/2022,13000,2,2,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,Contact Agent
03/07/2022,6800,1,1,300,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
14/05/2022,8000,2,2,800,1 out of 1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
10/05/2022,10000,2,1,740,Ground out of 6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,Contact Owner
25/04/2022,18000,2,2,1300,1 out of 1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
13/06/2022,8000,2,1,650,Ground out of 1,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
06/05/2022,8000,2,1,490,1 out of 1,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
08/06/2022,4700,1,1,250,2 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,Contact Owner
08/06/2022,4700,1,1,250,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,Contact Owner
06/05/2022,4500,1,1,450,1 out of 2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
30/06/2022,6000,1,1,300,Ground out of 1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
24/06/2022,16000,2,2,750,1 out of 3,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
01/07/2022,4700,1,1,250,1 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,Contact Owner
17/06/2022,14000,2,1,751,3 out of 3,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,Contact Owner
26/06/2022,9000,2,1,900,Ground out of 2,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,Contact Owner
23/06/2022,5000,2,1,400,1 out of 3,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
13/06/2022,17500,2,2,1000,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,Contact Agent
11/06/2022,8500,2,1,1000,Ground out of 1,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
26/05/2022,15000,3,2,1500,1 out of 1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,Contact Owner
25/04/2022,12500,2,2,750,1 out of 3,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
11/05/2022,13000,1,1,1200,2 out of 4,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
06/05/2022,8000,2,1,700,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
10/05/2022,8000,2,1,700,4 out of 4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,Contact Owner
21/05/2022,8000,2,1,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
12/06/2022,7000,2,2,1200,1 out of 3,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
05/06/2022,2200,2,1,550,2 out of 3,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,Contact Owner
25/06/2022,8000,2,1,800,Ground out of 4,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,Contact Owner
11/06/2022,5500,2,1,280,1 out of 3,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,Contact Owner
04/07/2022,20000,3,3,1100,Ground out of 2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
10/05/2022,7000,2,1,950,Ground out of 2,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
13/05/2022,3500,1,1,250,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,Contact Owner
10/05/2022,5000,2,1,1000,Ground out of 2,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,Contact Owner
30/06/2022,20000,3,2,1000,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
27/05/2022,7000,2,1,650,Ground out of 2,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
08/06/2022,10000,2,2,700,1 out of 2,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
15/05/2022,7000,2,1,700,Ground out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,Contact Owner
29/06/2022,12000,3,2,1000,Ground out of 3,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
13/05/2022,14500,2,2,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,Contact Owner
25/05/2022,6000,1,1,700,1 out of 2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
04/07/2022,9500,2,2,700,1 out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
27/06/2022,10000,2,2,450,2 out of 1,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
06/05/2022,3500,1,1,120,Ground out of 3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
01/06/2022,9000,2,2,800,1 out of 2,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
07/06/2022,40000,3,2,1220,2 out of 3,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
23/06/2022,16500,3,1,1100,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
12/06/2022,8000,3,2,700,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,Contact Owner
10/05/2022,12000,2,1,800,Ground out of 3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,Contact Owner
27/06/2022,6500,2,1,670,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,Contact Owner
30/04/2022,40000,4,3,1300,1 out of 2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
06/05/2022,5000,1,1,190,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
24/05/2022,9000,2,1,700,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
17/06/2022,7000,1,1,240,Ground out of 4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,Contact Owner
19/05/2022,18000,2,1,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,Contact Owner
26/05/2022,9000,1,2,950,1 out of 2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
11/06/2022,5500,1,1,450,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,Contact Owner
08/06/2022,7500,2,1,800,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,Contact Owner
02/07/2022,4000,2,1,600,1 out of 2,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
30/05/2022,10500,3,2,800,2 out of 2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,Contact Owner
03/07/2022,15000,3,2,1100,Ground out of 2,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
16/06/2022,15000,2,1,800,Ground out of 2,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,Contact Owner
13/05/2022,50000,1,3,2200,2 out of 5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,Contact Owner
08/06/2022,12000,2,2,950,1 out of 1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,Contact Owner
25/04/2022,11000,2,1,550,2 out of 3,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
04/06/2022,12000,2,2,1800,1 out of 1,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,Contact Owner
11/05/2022,8000,2,1,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,Contact Owner
27/05/2022,18000,2,2,600,Ground out of 3,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
24/04/2022,8000,2,2,750,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
10/05/2022,7000,2,1,685,2 out of 3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
24/05/2022,6500,1,1,44,Ground out of 1,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,Contact Owner
10/06/2022,13000,4,1,1200,Ground out of 2,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
05/05/2022,9000,2,1,500,Ground out of 2,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,Contact Owner
29/04/2022,10000,4,2,1110,2 out of 2,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
05/05/2022,12000,2,2,1000,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
26/06/2022,5000,2,1,392,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
09/05/2022,6000,2,1,700,1 out of 2,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
19/05/2022,5200,1,1,750,2 out of 4,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
07/06/2022,15000,3,2,1500,1 out of 2,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,Contact Owner
29/04/2022,9000,2,2,900,Ground out of 1,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
03/07/2022,24000,1,1,710,1 out of 1,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,Contact Agent
26/05/2022,5500,1,1,400,Ground out of 3,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
24/06/2022,10000,1,1,700,1 out of 2,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,Contact Owner
03/07/2022,15000,2,1,1000,Ground out of 2,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
12/06/2022,4700,1,1,250,1 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,Contact Owner
